,Date,Time,Crm_Desc,Crm_Cd,Lat,Lon
409766,2012-09-15,1945,CHILD NEGLECT (SEE 300 W.I.C.),237,34.2247,-118.4655
409769,2012-09-15,1215,BATTERY - SIMPLE ASSAULT,624,34.1778,-118.5205
410218,2012-09-15,640,BURGLARY FROM VEHICLE,330,34.0009,-118.359
410283,2012-09-15,200,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0495,-118.27
411417,2012-09-15,10,VEHICLE - STOLEN,510,34.2404,-118.3658
411532,2012-09-15,1700,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",956,33.9556,-118.26299999999999
411790,2012-09-15,120,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,33.7944,-118.2456
411867,2012-09-15,28,OTHER MISCELLANEOUS CRIME,946,34.2157,-118.3703
412722,2012-09-15,1200,THEFT PLAIN - PETTY ($950 & UNDER),440,33.9775,-118.4292
412754,2012-09-15,725,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0039,-118.2652
412787,2012-09-15,1350,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0052,-118.3089
413088,2012-09-15,1445,BATTERY - SIMPLE ASSAULT,624,34.0712,-118.2966
413459,2012-09-15,1000,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.0155,-118.2975
413460,2012-09-15,2100,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0629,-118.2754
413742,2012-09-15,500,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,33.982,-118.2564
414614,2012-09-15,2005,BATTERY - SIMPLE ASSAULT,624,34.0709,-118.2941
414725,2012-09-15,1645,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,33.9572,-118.2739
415490,2012-09-15,645,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0463,-118.3102
415564,2012-09-15,100,VEHICLE - STOLEN,510,34.0591,-118.1965
416054,2012-09-15,1350,BATTERY - SIMPLE ASSAULT,624,34.05,-118.2926
416099,2012-09-15,230,THEFT PLAIN - PETTY ($950 & UNDER),440,34.2356,-118.47200000000001
416305,2012-09-15,1600,BURGLARY FROM VEHICLE,330,34.2083,-118.4706
416602,2012-09-15,10,BATTERY - SIMPLE ASSAULT,624,34.2194,-118.4009
416752,2012-09-15,1300,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0146,-118.3089
418295,2012-09-15,1300,BURGLARY FROM VEHICLE,330,33.9543,-118.2827
418594,2012-09-15,1320,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,34.1721,-118.4596
418984,2012-09-15,1100,VEHICLE - STOLEN,510,33.9747,-118.2695
419302,2012-09-15,1200,DOCUMENT FORGERY / STOLEN FELONY,649,34.1602,-118.4814
419647,2012-09-15,2350,THEFT OF IDENTITY,354,33.9879,-118.4281
419935,2012-09-15,452,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,34.0817,-118.3057
420128,2012-09-15,500,ROBBERY,210,33.9892,-118.2783
420405,2012-09-15,2130,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,33.9986,-118.2652
421522,2012-09-15,715,BURGLARY FROM VEHICLE,330,34.0009,-118.359
421891,2012-09-15,450,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.7297,-118.2857
422945,2012-09-15,1805,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0531,-118.2671
423959,2012-09-15,1830,BURGLARY FROM VEHICLE,330,33.9923,-118.2958
424179,2012-09-15,2210,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.1994,-118.4094
424453,2012-09-15,1055,THREATENING PHONE CALLS/LETTERS,928,34.1056,-118.2008
424553,2012-09-15,245,BATTERY POLICE (SIMPLE),623,34.098,-118.3363
425442,2012-09-15,1500,BURGLARY,310,33.9691,-118.3308
425741,2012-09-15,1435,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0278,-118.20100000000001
426145,2012-09-15,2100,CHILD ANNOYING (17YRS & UNDER),813,33.9943,-118.2595
426484,2012-09-15,1100,DOCUMENT FORGERY / STOLEN FELONY,649,33.7954,-118.2636
426556,2012-09-15,845,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.1016,-118.3468
426579,2012-09-15,2205,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0406,-118.2117
426606,2012-09-15,110,SHOTS FIRED AT INHABITED DWELLING,251,33.7935,-118.2456
426874,2012-09-15,1600,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,34.1802,-118.5291
427275,2012-09-15,2300,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),331,34.0736,-118.3397
427783,2012-09-15,310,ROBBERY,210,34.1016,-118.3489
