,Date,Time,Crm_Desc,Crm_Cd,Lat,Lon
1438103,2017-10-24,30,BRANDISH WEAPON,761,34.0109,-118.3089
1438850,2017-10-24,1330,BATTERY - SIMPLE ASSAULT,624,34.0835,-118.2004
1438949,2017-10-24,1800,INTIMATE PARTNER - AGGRAVATED ASSAULT,236,34.0039,-118.2717
1439327,2017-10-24,820,OTHER ASSAULT,625,33.9851,-118.2809
1439505,2017-10-24,1324,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0284,-118.4048
1440404,2017-10-24,1900,VEHICLE - STOLEN,510,33.9976,-118.2634
1440807,2017-10-24,1500,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.0638,-118.1785
1440942,2017-10-24,700,BURGLARY FROM VEHICLE,330,33.9646,-118.3025
1440997,2017-10-24,2030,BURGLARY FROM VEHICLE,330,33.9947,-118.2411
1441016,2017-10-24,1100,BURGLARY,310,33.9723,-118.3723
1441235,2017-10-24,2305,FAILURE TO YIELD,890,34.1207,-118.2026
1441593,2017-10-24,1600,BURGLARY,310,34.2264,-118.5514
1441829,2017-10-24,1800,VEHICLE - STOLEN,510,34.1902,-118.5491
1442115,2017-10-24,430,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.9939,-118.2565
1442863,2017-10-24,2200,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.172,-118.6084
1442952,2017-10-24,1440,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.3058,-118.4677
1443011,2017-10-24,2138,"BURGLARY FROM VEHICLE, ATTEMPTED",410,34.0854,-118.3532
1443555,2017-10-24,100,ROBBERY,210,34.0597,-118.3091
1444242,2017-10-24,1100,BURGLARY FROM VEHICLE,330,34.064,-118.2747
1444282,2017-10-24,1645,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,822,33.9751,-118.2918
1444549,2017-10-24,2000,VIOLATION OF RESTRAINING ORDER,901,34.0017,-118.2937
1444744,2017-10-24,1640,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0998,-118.3267
1444805,2017-10-24,845,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0436,-118.2051
1445056,2017-10-24,1608,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,33.9579,-118.402
1445236,2017-10-24,1820,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.2427,-118.4453
1445438,2017-10-24,1215,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,627,34.1903,-118.37899999999999
1445590,2017-10-24,1930,VIOLATION OF COURT ORDER,900,34.2661,-118.4311
1446188,2017-10-24,1045,"RAPE, FORCIBLE",121,33.9321,-118.2463
1446234,2017-10-24,1930,BURGLARY FROM VEHICLE,330,34.2193,-118.435
1446812,2017-10-24,1155,BURGLARY FROM VEHICLE,330,34.0908,-118.3266
1447072,2017-10-24,1955,BATTERY - SIMPLE ASSAULT,624,34.12,-118.2139
1447183,2017-10-24,2200,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.1939,-118.4684
1447329,2017-10-24,1630,BATTERY - SIMPLE ASSAULT,624,34.0935,-118.2893
1448161,2017-10-24,415,BATTERY - SIMPLE ASSAULT,624,34.260999999999996,-118.4698
1448303,2017-10-24,930,"THEFT, PERSON",350,34.0476,-118.3245
1448371,2017-10-24,1545,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.1884,-118.5959
1448879,2017-10-24,1700,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0141,-118.2915
