,Date,Time,Crm_Desc,Crm_Cd,Lat,Lon
610875,2013-08-29,930,BIKE - STOLEN,480,34.0487,-118.2588
611254,2013-08-29,2200,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,33.7188,-118.305
611733,2013-08-29,100,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0082,-118.3263
611768,2013-08-29,200,THEFT PLAIN - PETTY ($950 & UNDER),440,33.9695,-118.4029
612123,2013-08-29,1308,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,34.2564,-118.5536
612198,2013-08-29,1145,TRESPASSING,888,34.0998,-118.3267
612207,2013-08-29,2100,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.2085,-118.4575
612777,2013-08-29,5,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.25,-118.5886
613021,2013-08-29,1630,BATTERY - SIMPLE ASSAULT,624,34.021,-118.3029
613690,2013-08-29,1430,THEFT PLAIN - PETTY ($950 & UNDER),440,34.048,-118.2577
613948,2013-08-29,2310,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.2231,-118.4535
614429,2013-08-29,500,BURGLARY,310,34.2447,-118.3672
614455,2013-08-29,1230,THEFT PLAIN - PETTY ($950 & UNDER),440,33.9943,-118.2701
614810,2013-08-29,1530,THEFT PLAIN - PETTY ($950 & UNDER),440,34.091,-118.2788
614862,2013-08-29,350,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,34.2649,-118.51100000000001
615080,2013-08-29,1810,BATTERY - SIMPLE ASSAULT,624,33.7243,-118.3012
615112,2013-08-29,1800,THEFT PLAIN - PETTY ($950 & UNDER),440,34.211999999999996,-118.417
615343,2013-08-29,1500,THEFT OF IDENTITY,354,34.1053,-118.2666
616168,2013-08-29,1330,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.1977,-118.5386
616348,2013-08-29,2030,BURGLARY,310,34.1939,-118.5426
616454,2013-08-29,2200,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.1021,-118.2031
617309,2013-08-29,600,BURGLARY,310,34.0502,-118.3331
618234,2013-08-29,800,THEFT OF IDENTITY,354,34.0859,-118.2727
619017,2013-08-29,1600,THEFT PLAIN - PETTY ($950 & UNDER),440,34.268,-118.45100000000001
619037,2013-08-29,1440,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.0926,-118.3244
619067,2013-08-29,710,BURGLARY,310,34.0624,-118.3504
619173,2013-08-29,1730,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0421,-118.2824
619445,2013-08-29,920,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0369,-118.2776
619480,2013-08-29,1130,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0453,-118.2499
620526,2013-08-29,1630,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",956,34.1238,-118.2293
620984,2013-08-29,2000,"BURGLARY, ATTEMPTED",320,34.1129,-118.3653
621019,2013-08-29,1800,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.9358,-118.2463
621334,2013-08-29,2100,BATTERY - SIMPLE ASSAULT,624,34.0246,-118.3031
622354,2013-08-29,1700,THEFT PLAIN - PETTY ($950 & UNDER),440,33.9793,-118.4666
622900,2013-08-29,1130,BURGLARY,310,34.0411,-118.3164
623430,2013-08-29,1940,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.2246,-118.5569
623642,2013-08-29,2230,BURGLARY FROM VEHICLE,330,34.010999999999996,-118.2608
623956,2013-08-29,1930,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.1016,-118.3387
623989,2013-08-29,2020,THEFT PLAIN - PETTY ($950 & UNDER),440,34.1481,-118.3644
624543,2013-08-29,1200,THEFT OF IDENTITY,354,34.1119,-118.1963
