,Date,Time,Crm_Desc,Crm_Cd,Lat,Lon
409812,2012-12-31,2130,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.9675,-118.2608
409898,2012-12-31,1500,THEFT PLAIN - PETTY ($950 & UNDER),440,34.2464,-118.5886
409927,2012-12-31,1700,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.9378,-118.2462
410473,2012-12-31,1200,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.218,-118.4688
410614,2012-12-31,2300,ROBBERY,210,34.1957,-118.5437
410648,2012-12-31,800,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),331,33.7925,-118.2492
411212,2012-12-31,2200,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0969,-118.3853
411376,2012-12-31,1345,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,34.1875,-118.603
412240,2012-12-31,1150,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0021,-118.2499
412774,2012-12-31,31,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0667,-118.2703
413613,2012-12-31,1200,THEFT OF IDENTITY,354,34.2157,-118.5032
414996,2012-12-31,830,BURGLARY FROM VEHICLE,330,33.786,-118.2816
415278,2012-12-31,1100,THEFT PLAIN - PETTY ($950 & UNDER),440,33.966,-118.2783
415613,2012-12-31,2000,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,34.0902,-118.2818
416321,2012-12-31,1330,"THEFT, PERSON",350,34.0491,-118.3
416356,2012-12-31,2200,BURGLARY,310,34.1583,-118.49700000000001
416821,2012-12-31,1140,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0423,-118.2452
416969,2012-12-31,2200,BURGLARY FROM VEHICLE,330,34.1522,-118.3855
417326,2012-12-31,2100,VEHICLE - STOLEN,510,34.0057,-118.2609
418014,2012-12-31,800,THEFT OF IDENTITY,354,34.1127,-118.1942
418539,2012-12-31,1100,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.2432,-118.4456
418892,2012-12-31,400,THEFT PLAIN - PETTY ($950 & UNDER),440,33.9489,-118.38600000000001
419564,2012-12-31,2330,VEHICLE - STOLEN,510,34.2246,-118.5885
419567,2012-12-31,1,DOCUMENT FORGERY / STOLEN FELONY,649,33.989000000000004,-118.3332
419699,2012-12-31,640,BATTERY - SIMPLE ASSAULT,624,34.2355,-118.55799999999999
420040,2012-12-31,1830,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0436,-118.309
420292,2012-12-31,1430,CHILD NEGLECT (SEE 300 W.I.C.),237,34.0109,-118.3067
422916,2012-12-31,2100,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.0277,-118.3272
423104,2012-12-31,1415,BATTERY - SIMPLE ASSAULT,624,34.1131,-118.1894
423233,2012-12-31,2350,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,34.0121,-118.2768
423392,2012-12-31,130,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0614,-118.1959
423429,2012-12-31,2340,TRESPASSING,888,34.2065,-118.6029
423885,2012-12-31,1345,BURGLARY,310,34.0039,-118.2652
423987,2012-12-31,1800,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,34.0568,-118.2578
424205,2012-12-31,130,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.979,-118.3112
424215,2012-12-31,2100,DISCHARGE FIREARMS/SHOTS FIRED,753,34.0132,-118.3456
424278,2012-12-31,1900,BURGLARY FROM VEHICLE,330,34.063,-118.3778
424531,2012-12-31,2130,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,33.9348,-118.2781
424630,2012-12-31,1200,"BURGLARY, ATTEMPTED",320,33.959,-118.3036
424892,2012-12-31,2200,BURGLARY FROM VEHICLE,330,34.0853,-118.3352
424935,2012-12-31,1140,BATTERY - SIMPLE ASSAULT,624,33.9722,-118.2717
425515,2012-12-31,2200,CHILD ANNOYING (17YRS & UNDER),813,33.9388,-118.2499
425555,2012-12-31,1200,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.2019,-118.6451
425672,2012-12-31,200,SHOTS FIRED AT INHABITED DWELLING,251,33.9737,-118.309
426401,2012-12-31,1800,BURGLARY FROM VEHICLE,330,33.9283,-118.2652
426488,2012-12-31,1,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",956,34.1459,-118.3631
426546,2012-12-31,1145,BATTERY WITH SEXUAL CONTACT,860,34.0374,-118.374
427768,2012-12-31,1255,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.0863,-118.3005
428169,2012-12-31,2030,"RAPE, FORCIBLE",121,34.1939,-118.5535
429397,2012-12-31,100,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.0491,-118.2989
429976,2012-12-31,1845,ATTEMPTED ROBBERY,220,34.0256,-118.3282
430450,2012-12-31,2030,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0163,-118.2304
430528,2012-12-31,1515,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,34.1558,-118.3965
430757,2012-12-31,2135,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,33.7115,-118.2879
431418,2012-12-31,1100,BURGLARY,310,34.1649,-118.3899
432551,2012-12-31,2030,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.1667,-118.4159
433253,2012-12-31,930,VEHICLE - STOLEN,510,33.799,-118.2459
433428,2012-12-31,2000,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.071,-118.2302
433739,2012-12-31,1850,OTHER MISCELLANEOUS CRIME,946,34.2609,-118.4673
433870,2012-12-31,1350,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.010999999999996,-118.3351
433969,2012-12-31,1400,BURGLARY FROM VEHICLE,330,34.0944,-118.3539
433975,2012-12-31,2355,BURGLARY FROM VEHICLE,330,34.1649,-118.5527
434428,2012-12-31,400,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,33.9947,-118.2411
434779,2012-12-31,200,VIOLATION OF RESTRAINING ORDER,901,34.0436,-118.3145
435553,2012-12-31,2230,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.2019,-118.6451
435741,2012-12-31,910,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0663,-118.2789
435960,2012-12-31,800,VEHICLE - STOLEN,510,33.7944,-118.2456
437408,2012-12-31,1,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0787,-118.2844
437764,2012-12-31,1500,THEFT OF IDENTITY,354,34.0463,-118.3102
437853,2012-12-31,100,DISCHARGE FIREARMS/SHOTS FIRED,753,34.1649,-118.3982
437930,2012-12-31,1730,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0899,-118.3223
438082,2012-12-31,1700,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.1045,-118.2739
438468,2012-12-31,2115,BURGLARY FROM VEHICLE,330,34.0835,-118.3196
438690,2012-12-31,5,VEHICLE - STOLEN,510,33.781,-118.2956
438743,2012-12-31,1500,"THEFT, PERSON",350,33.9746,-118.3003
438803,2012-12-31,2045,BURGLARY FROM VEHICLE,330,34.012,-118.2653
439202,2012-12-31,1855,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,34.2591,-118.4674
439238,2012-12-31,2330,VEHICLE - STOLEN,510,33.9669,-118.2794
440369,2012-12-31,5,THEFT OF IDENTITY,354,34.0523,-118.4162
440550,2012-12-31,2140,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.3027,-118.4553
440993,2012-12-31,800,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",956,34.2012,-118.5623
