,Date,Time,Crm_Desc,Crm_Cd,Lat,Lon
1438056,2017-12-22,1500,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.1164,-118.2332
1438580,2017-12-22,100,BURGLARY FROM VEHICLE,330,34.2707,-118.4085
1439015,2017-12-22,1720,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.2012,-118.4116
1439035,2017-12-22,1400,BURGLARY FROM VEHICLE,330,33.9872,-118.3352
1439371,2017-12-22,1900,VEHICLE - STOLEN,510,34.1496,-118.3653
1440499,2017-12-22,2000,BURGLARY FROM VEHICLE,330,34.1514,-118.3712
1440813,2017-12-22,630,THEFT PLAIN - PETTY ($950 & UNDER),440,34.171,-118.5709
1440827,2017-12-22,1200,THEFT OF IDENTITY,354,33.9693,-118.4268
1440903,2017-12-22,200,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0408,-118.2428
1441508,2017-12-22,1320,BATTERY - SIMPLE ASSAULT,624,34.0325,-118.3535
1441832,2017-12-22,20,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,33.9989,-118.4369
1442154,2017-12-22,210,BATTERY - SIMPLE ASSAULT,624,34.0453,-118.2499
1442172,2017-12-22,1850,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0273,-118.4029
1442332,2017-12-22,410,BATTERY - SIMPLE ASSAULT,624,34.0577,-118.2998
1443035,2017-12-22,1600,VEHICLE - STOLEN,510,34.0941,-118.27600000000001
1443656,2017-12-22,1900,BURGLARY FROM VEHICLE,330,34.0838,-118.2177
1444390,2017-12-22,100,BATTERY - SIMPLE ASSAULT,624,34.103,-118.3225
1444738,2017-12-22,1615,SHOPLIFTING - ATTEMPT,443,34.0483,-118.2631
1444899,2017-12-22,1030,BURGLARY,310,34.1186,-118.2829
1445149,2017-12-22,730,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,33.8583,-118.2926
1445505,2017-12-22,1900,BURGLARY,310,34.0281,-118.2194
1445904,2017-12-22,1920,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.062,-118.2804
1445906,2017-12-22,500,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0336,-118.35700000000001
1445967,2017-12-22,1800,BURGLARY FROM VEHICLE,330,34.1877,-118.4509
1445973,2017-12-22,1000,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),331,33.7288,-118.2924
1446793,2017-12-22,1920,THROWING OBJECT AT MOVING VEHICLE,647,34.1505,-118.44
1446934,2017-12-22,1630,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.9915,-118.2761
1447390,2017-12-22,1300,THEFT PLAIN - PETTY ($950 & UNDER),440,34.2012,-118.4116
1447440,2017-12-22,1630,BATTERY - SIMPLE ASSAULT,624,34.0389,-118.255
1447545,2017-12-22,1700,BURGLARY FROM VEHICLE,330,34.1001,-118.3071
1447743,2017-12-22,1430,BURGLARY,310,34.1463,-118.4523
1448132,2017-12-22,1800,BURGLARY FROM VEHICLE,330,33.9976,-118.46700000000001
1448331,2017-12-22,2200,VEHICLE - STOLEN,510,34.1007,-118.335
1449620,2017-12-22,1,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,34.2427,-118.6021
1449663,2017-12-22,2000,VEHICLE - STOLEN,510,34.0029,-118.2805
1449781,2017-12-22,1925,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.244,-118.5583
1450280,2017-12-22,1900,BURGLARY,310,34.0173,-118.3319
1450353,2017-12-22,1700,THEFT PLAIN - PETTY ($950 & UNDER),440,34.2704,-118.4162
1450896,2017-12-22,1,THEFT OF IDENTITY,354,34.2535,-118.2794
1451232,2017-12-22,1200,THEFT OF IDENTITY,354,34.1053,-118.3169
1451393,2017-12-22,1940,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,34.0488,-118.2817
1451399,2017-12-22,700,BATTERY - SIMPLE ASSAULT,624,34.0467,-118.25200000000001
1451874,2017-12-22,1400,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,34.0383,-118.4324
1452833,2017-12-22,1300,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.1724,-118.536
1453890,2017-12-22,1500,BATTERY - SIMPLE ASSAULT,624,34.0462,-118.4581
1453913,2017-12-22,2330,BATTERY - SIMPLE ASSAULT,624,34.066,-118.2154
1454157,2017-12-22,2200,"THEFT, PERSON",350,33.9542,-118.2827
1454420,2017-12-22,1700,BURGLARY FROM VEHICLE,330,34.0652,-118.2878
1454492,2017-12-22,240,THEFT OF IDENTITY,354,33.9947,-118.4683
1454514,2017-12-22,2100,BURGLARY,310,34.0837,-118.368
1455376,2017-12-22,1200,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.1398,-118.473
1455419,2017-12-22,210,BATTERY - SIMPLE ASSAULT,624,34.0453,-118.2499
1455699,2017-12-22,230,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0088,-118.2827
1456807,2017-12-22,1945,BURGLARY FROM VEHICLE,330,34.1179,-118.29299999999999
1456888,2017-12-22,300,BATTERY - SIMPLE ASSAULT,624,34.069,-118.3116
1457419,2017-12-22,1300,BURGLARY,310,34.0255,-118.2915
1457988,2017-12-22,2300,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0072,-118.3201
1458151,2017-12-22,1510,"RAPE, FORCIBLE",121,33.9759,-118.3897
1459034,2017-12-22,2210,CONTEMPT OF COURT,903,34.15,-118.4424
1461128,2017-12-22,1730,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.1052,-118.2598
1461377,2017-12-22,2045,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.2139,-118.6103
1461784,2017-12-22,1215,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,34.0728,-118.2878
1461967,2017-12-22,850,BATTERY - SIMPLE ASSAULT,624,34.053000000000004,-118.2648
1462227,2017-12-22,2000,THEFT PLAIN - PETTY ($950 & UNDER),440,33.7324,-118.2814
1463137,2017-12-22,1856,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),343,33.9956,-118.4722
1463960,2017-12-22,1800,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,33.9465,-118.27600000000001
1464222,2017-12-22,1245,TRESPASSING,888,34.104,-118.3448
1464809,2017-12-22,1700,BURGLARY,310,34.0199,-118.2867
1465605,2017-12-22,230,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.2285,-118.507
1466081,2017-12-22,1200,BURGLARY FROM VEHICLE,330,34.0827,-118.2565
1466707,2017-12-22,1350,"BURGLARY, ATTEMPTED",320,33.9855,-118.3245
1467233,2017-12-22,1555,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,34.1867,-118.3943
1467623,2017-12-22,1210,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,34.0326,-118.335
1467650,2017-12-22,1200,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),331,34.1852,-118.4837
1469104,2017-12-22,2300,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.1504,-118.3703
1469379,2017-12-22,2035,"BUNCO, PETTY THEFT",664,34.174,-118.4662
1469572,2017-12-22,405,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0981,-118.318
1470175,2017-12-22,2310,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.2251,-118.4039
1470253,2017-12-22,2345,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,34.0617,-118.3066
1470607,2017-12-22,1120,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.23,-118.5667
1470726,2017-12-22,2008,VEHICLE - STOLEN,510,34.0483,-118.2631
1470838,2017-12-22,930,BURGLARY,310,34.2427,-118.4325
1471672,2017-12-22,1951,THEFT PLAIN - PETTY ($950 & UNDER),440,33.9678,-118.3742
1471742,2017-12-22,620,ROBBERY,210,33.9983,-118.2783
1472050,2017-12-22,930,BURGLARY,310,34.0514,-118.3799
1472117,2017-12-22,1910,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,34.0704,-118.3532
1473180,2017-12-22,1930,BURGLARY,310,34.1837,-118.5846
1473290,2017-12-22,2115,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0938,-118.1624
1473720,2017-12-22,1050,ROBBERY,210,34.0737,-118.2144
1474304,2017-12-22,2200,BURGLARY FROM VEHICLE,330,34.0346,-118.2323
1474674,2017-12-22,1730,BURGLARY FROM VEHICLE,330,33.9775,-118.4292
1474953,2017-12-22,1530,BATTERY - SIMPLE ASSAULT,624,34.223,-118.5378
1475138,2017-12-22,1630,VEHICLE - STOLEN,510,34.0442,-118.2943
1475751,2017-12-22,2200,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0962,-118.3405
1475913,2017-12-22,630,ROBBERY,210,33.9383,-118.2652
1476090,2017-12-22,1300,THEFT PLAIN - PETTY ($950 & UNDER),440,34.244,-118.5583
1476388,2017-12-22,715,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0431,-118.3418
1476547,2017-12-22,1700,BURGLARY FROM VEHICLE,330,34.2049,-118.4286
1478175,2017-12-22,2035,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0655,-118.3114
1478403,2017-12-22,2300,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),331,34.1848,-118.5422
1478898,2017-12-22,1700,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0709,-118.2941
1478974,2017-12-22,1930,BATTERY - SIMPLE ASSAULT,624,34.0241,-118.3351
1479421,2017-12-22,1800,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.2058,-118.3921
1479889,2017-12-22,1100,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0523,-118.2572
1480193,2017-12-22,2000,VEHICLE - STOLEN,510,34.0761,-118.3766
1480536,2017-12-22,1530,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0055,-118.2872
1480634,2017-12-22,1000,BURGLARY FROM VEHICLE,330,33.8561,-118.3035
1481029,2017-12-22,1230,THEFT PLAIN - PETTY ($950 & UNDER),440,33.7136,-118.2904
1481226,2017-12-22,1800,BURGLARY FROM VEHICLE,330,34.0124,-118.3351
1481228,2017-12-22,1200,OTHER MISCELLANEOUS CRIME,946,34.0584,-118.4968
1481494,2017-12-22,1950,VIOLATION OF RESTRAINING ORDER,901,33.9608,-118.2761
1481817,2017-12-22,1400,"RAPE, FORCIBLE",121,33.9792,-118.2893
1481845,2017-12-22,2110,CONTEMPT OF COURT,903,34.1813,-118.3703
1481986,2017-12-22,1745,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,34.1867,-118.4487
1482069,2017-12-22,1824,THEFT OF IDENTITY,354,33.9492,-118.2869
1482097,2017-12-22,1245,BURGLARY FROM VEHICLE,330,34.0388,-118.1987
1482300,2017-12-22,1600,VEHICLE - STOLEN,510,34.0616,-118.2795
1482389,2017-12-22,1700,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0073,-118.3113
1482404,2017-12-22,1440,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,34.2734,-118.4267
1482876,2017-12-22,1000,VEHICLE - STOLEN,510,34.0751,-118.2535
1483298,2017-12-22,900,BURGLARY FROM VEHICLE,330,34.0529,-118.2733
1483402,2017-12-22,2145,TRESPASSING,888,34.0376,-118.331
1483451,2017-12-22,900,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.1776,-118.44
1484269,2017-12-22,200,TRESPASSING,888,34.0982,-118.2918
1484816,2017-12-22,2200,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.9647,-118.2673
1484990,2017-12-22,1720,BURGLARY,310,33.9524,-118.2446
1485484,2017-12-22,600,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.0111,-118.2872
1485558,2017-12-22,415,BRANDISH WEAPON,761,34.043,-118.2732
1486168,2017-12-22,1900,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.2684,-118.4335
1486264,2017-12-22,1500,THEFT OF IDENTITY,354,34.163000000000004,-118.5302
1486340,2017-12-22,1720,ROBBERY,210,34.1589,-118.3742
1486446,2017-12-22,1655,BURGLARY,310,34.0634,-118.3655
1486798,2017-12-22,2100,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.2238,-118.4359
1487373,2017-12-22,1500,VEHICLE - STOLEN,510,34.0297,-118.2367
1487910,2017-12-22,2230,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",956,34.0355,-118.2975
1487926,2017-12-22,1000,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.1052,-118.2598
1487935,2017-12-22,1700,BURGLARY FROM VEHICLE,330,34.1847,-118.4509
1488907,2017-12-22,1305,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.2047,-118.5879
1489095,2017-12-22,1030,BURGLARY,310,34.2378,-118.4465
1489507,2017-12-22,1400,BATTERY - SIMPLE ASSAULT,624,33.9527,-118.309
1489538,2017-12-22,1700,"CREDIT CARDS, FRAUD USE ($950 & UNDER",654,34.1215,-118.2069
1489952,2017-12-22,600,LEWD CONDUCT,762,34.0438,-118.36
1489955,2017-12-22,1950,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.0284,-118.3958
1489981,2017-12-22,850,BATTERY - SIMPLE ASSAULT,624,34.0626,-118.4454
1490409,2017-12-22,1518,BATTERY - SIMPLE ASSAULT,624,34.0761,-118.3766
1490454,2017-12-22,1000,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0456,-118.2101
1491038,2017-12-22,1640,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,34.0728,-118.2878
1491297,2017-12-22,2100,BRANDISH WEAPON,761,34.0533,-118.1977
1491507,2017-12-22,145,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0568,-118.2821
